date,tag,section,cohort
2/3/2000,1,2,2000
3/3/2000,1,4,2000
4/3/2000,1,6,2000
5/3/2000,1,8,2000
6/3/2000,1,10,2000
7/3/2000,1,12,2000
8/3/2000,1,14,2000
9/3/2000,1,16,2000
10/3/2000,1,18,2000
11/3/2000,1,20,2000
2/5/2000,2,10,2000
3/5/2000,2,9,2000
4/5/2000,2,8,2000
5/5/2000,2,7,2000
6/5/2000,2,6,2000
7/5/2000,2,5,2000
8/5/2000,2,4,2000
9/5/2000,2,3,2000
10/5/2000,2,2,2000
1/5/2001,3,25,2001
2/3/2001,3,27,2001
3/3/2001,3,29,2001
4/3/2001,3,31,2001
5/3/2001,3,33,2001
6/3/2001,3,35,2001
7/3/2001,3,37,2001
8/3/2001,3,39,2001
9/3/2001,3,41,2001
10/3/2001,3,43,2001
11/3/2001,3,45,2001
2/5/2001,4,30,2001
3/5/2001,4,28,2001
4/5/2001,4,26,2001
5/5/2001,4,24,2001
6/5/2001,4,22,2001
7/5/2001,4,20,2001
8/5/2001,4,18,2001
9/5/2001,4,16,2001
10/5/2001,4,14,2001
11/5/2001,4,12,2001
