date,tag,xPos,yPos,bodySize,cohort
2/3/2000,1,2,1,5,2000
3/3/2000,1,4,2,7,2000
4/3/2000,1,6,3,9,2000
5/3/2000,1,8,4,11,2000
6/3/2000,1,10,5,13,2000
7/3/2000,1,12,6,15,2000
8/3/2000,1,14,7,17,2000
9/3/2000,1,16,8,19,2000
10/3/2000,1,18,9,21,2000
11/3/2000,1,20,10,23,2000
2/5/2000,2,10,1,7,2000
3/5/2000,2,9,2,8,2000
4/5/2000,2,8,3,9,2000
5/5/2000,2,7,4,10,2000
6/5/2000,2,6,5,11,2000
7/5/2000,2,5,6,12,2000
8/5/2000,2,4,7,13,2000
9/5/2000,2,3,8,14,2000
10/5/2000,2,2,9,15,2000
1/5/2001,3,25,1,9,2001
2/3/2001,3,27,2,10,2001
3/3/2001,3,29,3,11,2001
4/3/2001,3,31,4,12,2001
5/3/2001,3,33,5,13,2001
6/3/2001,3,35,6,14,2001
7/3/2001,3,37,7,15,2001
8/3/2001,3,39,8,16,2001
9/3/2001,3,41,9,17,2001
10/3/2001,3,43,10,18,2001
11/3/2001,3,45,11,19,2001
2/5/2001,4,30,1,2,2001
3/5/2001,4,28,2,3,2001
4/5/2001,4,26,3,4,2001
5/5/2001,4,24,4,5,2001
6/5/2001,4,22,5,6,2001
7/5/2001,4,20,6,7,2001
8/5/2001,4,18,7,8,2001
9/5/2001,4,16,8,9,2001
10/5/2001,4,14,9,10,2001
11/5/2001,4,12,10,11,2001
